time,deltaTime,deltaPress,dv
724.833000,4.800000,3.133060,1.868771
727.233000,7.200000,4.019050,2.253541
729.633000,9.600000,4.709970,2.428642
732.033000,12.000000,5.275640,2.510593
734.433000,14.400000,5.744390,2.569474
736.833000,16.800000,6.156990,2.637285
739.233000,19.200000,6.520270,2.662915
741.633000,21.600000,6.843510,2.660270
744.033000,24.000000,7.131110,2.653315
746.433000,26.400000,7.393070,2.664499
748.833000,28.800000,7.634040,2.667123
751.233000,31.200000,7.855720,2.658275
753.633000,33.600000,8.060800,2.649294
756.033000,36.000000,8.251710,2.640686
758.433000,38.400000,8.430180,2.632860
760.833000,40.800000,8.597910,2.620638
763.233000,43.200000,8.755380,2.607248
765.633000,45.600000,8.904300,2.598140
768.033000,48.000000,9.045410,2.592229
770.433000,50.400000,9.179940,2.587146
772.833000,52.800000,9.308110,2.577413
775.233000,55.200000,9.430420,2.567082
777.633000,57.600000,9.547370,2.557222
780.033000,60.000000,9.659430,2.546281
782.433000,62.400000,9.766850,2.541405
784.833000,64.800000,9.870610,2.538020
787.233000,67.200000,9.970460,2.530936
789.633000,69.600000,10.066900,2.526919
792.033000,72.000000,10.160160,2.526950
794.433000,74.400000,10.250740,2.525057
796.833000,76.800000,10.338380,2.521730
799.233000,79.200000,10.423590,2.524674
801.633000,81.600000,10.506600,2.526983
804.033000,84.000000,10.587410,2.525332
806.433000,86.400000,10.666020,2.523812
808.833000,88.800000,10.742680,2.526761
811.233000,91.200000,10.817630,2.534807
813.633000,93.600000,10.891120,2.544202
816.033000,96.000000,10.963140,2.546493
818.433000,98.400000,11.033450,2.555116
820.833000,100.800000,11.102790,2.565834
823.233000,103.200000,11.170660,2.574178
825.633000,105.600000,11.237550,2.585414
828.033000,108.000000,11.303230,2.594498
830.433000,110.400000,11.367920,2.601631
832.833000,112.800000,11.431400,2.612209
835.233000,115.200000,11.494150,2.630979
837.633000,117.600000,11.556160,2.643041
840.033000,120.000000,11.617190,2.659264
842.433000,122.400000,11.677740,2.674176
844.833000,124.800000,11.737310,2.682121
847.233000,127.200000,11.796150,2.699867
849.633000,129.600000,11.854500,2.716277
852.033000,132.000000,11.912110,2.726110
854.433000,134.400000,11.969000,2.746526
856.833000,136.800000,12.025640,2.765808
859.233000,139.200000,12.081550,2.778210
861.633000,141.600000,12.136970,2.795625
864.033000,144.000000,12.191900,2.812163
866.433000,146.400000,12.246340,2.828087
868.833000,148.800000,12.300300,2.849504
871.233000,151.200000,12.354010,2.869976
873.633000,153.600000,12.407230,2.883512
876.033000,156.000000,12.459970,2.902823
878.433000,158.400000,12.512460,2.921192
880.833000,160.800000,12.564460,2.939180
883.233000,163.200000,12.616220,2.956514
