time,deltaTime,deltaPress,dv
873.633000,153.600000,17.762940,3.700453
876.033000,156.000000,17.830560,3.710803
878.433000,158.400000,17.897460,3.719915
880.833000,160.800000,17.963620,3.727512
883.233000,163.200000,18.029050,3.741053
885.633000,165.600000,18.093990,3.760528
888.033000,168.000000,18.158440,3.772375
890.433000,170.400000,18.222170,3.782903
892.833000,172.800000,18.285400,3.799344
895.233000,175.200000,18.348140,3.807914
897.633000,177.600000,18.410150,3.823193
900.033000,180.000000,18.471920,3.837645
902.433000,182.400000,18.532960,3.850959
904.833000,184.800000,18.593750,3.871121
907.233000,187.200000,18.654050,3.882876
909.633000,189.600000,18.713860,3.894142
912.033000,192.000000,18.773190,3.904603
914.433000,194.400000,18.832030,3.921945
916.833000,196.800000,18.890620,3.938991
919.233000,199.200000,18.948730,3.955414
921.633000,201.600000,19.006590,3.970873
924.033000,204.000000,19.063960,3.986057
926.433000,206.400000,19.121090,4.009419
928.833000,208.800000,19.177980,4.023112
931.233000,211.200000,19.234370,4.027584
933.633000,213.600000,19.290280,4.049384
936.033000,216.000000,19.346190,4.070392
938.433000,218.400000,19.401610,4.081741
940.833000,220.800000,19.456780,4.092861
943.233000,223.200000,19.511470,4.112788
945.633000,225.600000,19.566160,4.131919
948.033000,228.000000,19.620360,4.150627
950.433000,230.400000,19.674560,4.168916
952.833000,232.800000,19.728270,4.177433
955.233000,235.200000,19.781740,4.204242
957.633000,237.600000,19.835200,4.221284
960.033000,240.000000,19.888180,4.228715
962.433000,242.400000,19.940920,4.254538
964.833000,244.800000,19.993650,4.270355
967.233000,247.200000,20.045900,4.285766
969.633000,249.600000,20.098140,4.310698
972.033000,252.000000,20.150140,4.325801
974.433000,254.400000,20.201900,4.340511
976.833000,256.800000,20.253420,4.353981
979.233000,259.200000,20.304680,4.377723
981.633000,261.600000,20.355950,4.402090
984.033000,264.000000,20.406980,4.414963
986.433000,266.400000,20.457760,4.437932
988.833000,268.800000,20.508540,4.461110
991.233000,271.200000,20.559080,4.472976
993.633000,273.600000,20.609370,4.484454
996.033000,276.000000,20.659420,4.506802
998.433000,278.400000,20.709470,4.539817
1000.833000,280.800000,20.759520,4.550387
1003.233000,283.200000,20.809080,4.560576
1005.633000,285.600000,20.858640,4.593091
1008.033000,288.000000,20.908200,4.614349
1010.433000,290.400000,20.957520,4.623645
1012.833000,292.800000,21.006590,4.643922
1015.233000,295.200000,21.055660,4.675892
1017.633000,297.600000,21.104730,4.696295
1020.033000,300.000000,21.153560,4.716489
1022.433000,302.400000,21.202390,4.735988
1024.833000,304.800000,21.250970,4.743527
1027.233000,307.200000,21.299310,4.763014
1029.633000,309.600000,21.347650,4.794196
1032.033000,312.000000,21.395990,4.825329
1034.433000,314.400000,21.444330,4.844356
1036.833000,316.800000,21.492430,4.850542
1039.233000,319.200000,21.540280,4.881293
1041.633000,321.600000,21.588380,4.911997
1044.033000,324.000000,21.636230,4.917412
1046.433000,326.400000,21.683840,4.934908
1048.833000,328.800000,21.731440,4.965236
1051.233000,331.200000,21.779050,4.996043
1053.633000,333.600000,21.826660,5.013088
1056.033000,336.000000,21.874020,5.029930
1058.433000,338.400000,21.921380,5.060458
1060.833000,340.800000,21.968750,5.090413
1063.233000,343.200000,22.016110,5.106811
1065.633000,345.600000,22.063230,5.109962
1068.033000,348.000000,22.110100,5.139556
1070.433000,350.400000,22.157220,5.169659
1072.833000,352.800000,22.204100,5.185346
1075.233000,355.200000,22.250970,5.214743
1077.633000,357.600000,22.297850,5.244100
1080.033000,360.000000,22.344720,5.259355
1082.433000,362.400000,22.391350,5.275545
1084.833000,364.800000,22.437990,5.304635
1087.233000,367.200000,22.484620,5.333115
1089.633000,369.600000,22.531250,5.362126
1092.033000,372.000000,22.577880,5.376648
1094.433000,374.400000,22.624260,5.391558
1096.833000,376.800000,22.670650,5.420891
1099.233000,379.200000,22.717040,5.449018
1101.633000,381.600000,22.763420,5.477695
1104.033000,384.000000,22.809810,5.506929
1106.433000,386.400000,22.856200,5.520622
1108.833000,388.800000,22.902340,5.534127
1111.233000,391.200000,22.948480,5.577582
1113.633000,393.600000,22.994870,5.606011
1116.033000,396.000000,23.041010,5.619792
1118.433000,398.400000,23.087160,5.648081
1120.833000,400.800000,23.133300,5.660960
1123.233000,403.200000,23.179200,5.689106
1125.633000,405.600000,23.225340,5.732129
1128.033000,408.000000,23.271480,5.745303
1130.433000,410.400000,23.317380,5.773354
1132.833000,412.800000,23.363520,5.801373
1135.233000,415.200000,23.409420,5.814161
